time,id_2_x,id_2_y,id_3_x,id_3_y,id_0_x,id_0_y
0.0,347.25,1114.75,570.0,1127.25,324.25,1673.25
0.0999058506543495,346.25,1114.25,569.5,1126.5,324.25,1673.5
0.199811701308699,345.0,1115.0,568.25,1126.5,325.0,1676.25
0.2997175519630485,342.25,1111.25,565.0,1123.75,324.75,1679.75
0.399623402617398,335.5,1110.0,557.5,1122.75,324.25,1684.75
0.4995292532717475,326.25,1111.0,548.25,1121.5,322.25,1688.75
0.599435103926097,316.25,1111.75,538.0,1119.5,320.5,1692.0
0.6993409545804465,311.75,1112.0,532.75,1117.0,320.0,1693.25
0.799246805234796,313.5,1112.25,534.5,1116.5,321.25,1694.25
0.8991526558891455,318.5,1113.5,540.0,1119.0,322.5,1694.5
0.999058506543495,331.25,1115.75,552.5,1124.0,327.5,1694.75
1.0989643571978445,350.0,1119.25,572.25,1131.0,333.25,1697.75
1.198870207852194,373.0,1121.75,595.0,1137.25,339.0,1701.25
1.2987760585065435,395.25,1123.25,617.75,1144.5,344.5,1701.0
1.398681909160893,412.5,1120.75,636.25,1148.25,,
1.4985877598152426,425.5,1118.0,650.0,1150.0,,
1.598493610469592,434.25,1119.25,659.5,1153.5,,
1.6983994611239415,439.75,1118.75,666.5,1156.75,,
1.798305311778291,448.5,1124.0,675.5,1162.75,,
1.8982111624326405,451.5,1124.0,679.5,1164.25,,
1.99811701308699,453.25,1124.5,681.0,1166.25,,
2.0980228637413396,454.0,1123.0,681.75,1166.5,,
2.197928714395689,453.5,1121.0,681.25,1166.25,,
2.2978345650500387,452.0,1117.75,679.5,1164.75,,
2.397740415704388,449.0,1115.25,676.0,1164.0,,
2.4976462663587378,446.75,1113.75,673.0,1163.75,,
2.597552117013087,443.75,1111.75,669.75,1162.25,,
2.6974579676674364,441.0,1109.75,666.5,1160.0,,
2.797363818321786,441.0,1108.75,666.25,1158.5,,
2.8972696689761355,439.5,1106.75,665.0,1155.75,,
2.9971755196304852,437.75,1106.0,662.75,1154.25,,
3.0970813702848345,436.75,1105.75,661.5,1153.25,,
3.196987220939184,435.75,1106.25,660.75,1153.5,,
3.2968930715935336,435.0,1104.75,660.25,1151.5,,
3.396798922247883,433.25,1104.0,659.0,1151.0,,
3.4967047729022327,430.5,1103.75,656.0,1149.75,,
3.596610623556582,427.75,1103.5,653.25,1149.25,,
3.6965164742109318,424.25,1102.75,649.75,1148.75,,
3.796422324865281,422.5,1102.25,648.0,1146.75,,
3.8963281755196304,422.5,1103.25,649.0,1144.5,,
3.99623402617398,424.0,1110.25,650.5,1143.25,,
4.09613987682833,424.5,1121.75,651.25,1145.0,,
4.196045727482679,425.5,1129.5,651.0,1143.75,,
4.2959515781370285,427.25,1137.25,652.25,1142.25,,
4.395857428791378,428.25,1140.0,653.0,1140.75,,
4.495763279445727,430.25,1142.75,654.5,1140.5,,
4.595669130100077,432.5,1145.25,657.0,1141.75,,
4.695574980754427,432.0,1146.0,656.5,1143.25,,
4.795480831408776,433.25,1146.25,657.75,1143.0,,
4.895386682063125,433.75,1145.0,658.0,1142.75,,
4.9952925327174755,434.5,1142.25,658.5,1141.0,,
5.095198383371825,435.25,1141.5,659.25,1139.75,,
5.195104234026174,435.25,1139.5,659.25,1137.75,,
5.2950100846805235,433.75,1136.25,658.75,1134.25,,
5.394915935334873,431.25,1133.75,656.25,1133.0,,
5.494821785989223,428.25,1132.5,652.5,1132.25,,
5.594727636643572,426.5,1130.25,650.75,1130.5,,
5.694633487297922,424.75,1130.25,648.25,1129.25,,
5.794539337952271,424.0,1129.25,647.5,1128.25,,
5.89444518860662,423.5,1128.25,647.0,1127.0,,
5.9943510392609705,422.5,1126.75,645.5,1125.5,,
6.09425688991532,419.0,1120.75,643.0,1125.5,,
6.194162740569669,416.75,1107.25,641.0,1123.25,,
6.294068591224018,415.75,1093.5,640.0,1121.25,,
6.393974441878368,415.75,1084.5,640.0,1121.0,,
6.493880292532718,416.25,1075.5,639.0,1119.75,,
6.593786143187067,412.5,1072.25,635.5,1125.0,,
6.6936919938414166,409.25,1072.5,632.25,1128.5,,
6.793597844495766,409.75,1073.25,633.25,1130.25,,
6.893503695150116,409.0,1074.25,633.25,1132.5,,
6.993409545804465,409.75,1075.5,634.75,1134.25,,
7.093315396458815,411.0,1075.5,636.5,1133.5,,
7.193221247113164,412.5,1076.0,637.75,1133.75,,
7.293127097767513,413.5,1075.5,639.0,1132.25,,
7.3930329484218635,413.75,1075.0,639.75,1130.5,,
7.492938799076213,413.75,1073.5,639.0,1129.0,,
7.592844649730562,412.25,1072.0,637.5,1127.75,,
7.6927505003849115,410.75,1070.75,635.75,1126.0,,
7.792656351039261,408.75,1069.75,634.0,1123.75,,
7.892562201693611,407.75,1069.5,632.25,1122.5,,
7.99246805234796,405.75,1068.5,631.25,1121.0,,
8.09237390300231,404.25,1069.75,629.25,1120.25,,
8.19227975365666,402.5,1070.0,627.75,1119.75,,
8.292185604311008,401.75,1072.25,627.75,1117.5,,
8.392091454965358,401.75,1077.25,628.25,1117.25,,
8.491997305619707,404.75,1085.5,631.25,1116.5,,
8.591903156274057,405.75,1096.25,632.75,1117.25,,
8.691809006928407,408.0,1104.5,634.75,1117.75,,
8.791714857582756,408.75,1107.25,635.75,1116.5,,
8.891620708237106,410.5,1109.5,636.5,1116.25,,
8.991526558891454,412.25,1109.5,638.0,1115.0,,
9.091432409545805,413.25,1108.0,639.0,1114.25,,
9.191338260200155,415.5,1108.0,641.0,1114.0,,
9.291244110854503,416.75,1107.5,642.0,1113.5,,
9.391149961508853,417.75,1107.25,643.25,1113.0,,
9.491055812163202,418.75,1106.25,644.0,1112.25,,
9.590961662817552,418.5,1107.0,644.0,1113.25,,
9.690867513471902,418.25,1106.75,644.0,1113.0,,
9.79077336412625,418.25,1106.5,643.5,1112.25,,
9.8906792147806,419.0,1106.0,644.0,1112.25,,
9.990585065434951,418.75,1106.5,644.25,1111.75,,
10.0904909160893,420.5,1108.75,645.25,1112.25,,
10.19039676674365,419.75,1108.5,645.75,1112.0,,
10.290302617397998,418.0,1100.5,645.0,1110.75,,
10.390208468052348,414.75,1090.25,641.75,1111.0,,
10.490114318706699,414.25,1078.75,640.25,1110.75,,
10.590020169361047,412.5,1068.5,638.0,1109.5,,
10.689926020015397,409.75,1064.75,634.75,1110.5,,
10.789831870669746,407.25,1063.0,632.0,1110.75,,
10.889737721324096,403.75,1061.25,,,,
10.989643571978446,401.75,1058.0,625.25,1108.5,,
11.089549422632794,398.25,1056.25,621.25,1107.0,,
11.189455273287145,393.75,1054.75,617.75,1105.75,,
11.289361123941493,391.25,1055.0,614.5,1105.25,,
11.389266974595843,387.5,1054.75,610.75,1104.5,,
11.489172825250193,384.75,1056.0,,,,
11.589078675904542,380.75,1056.5,605.25,1103.25,,
11.688984526558892,374.75,1057.25,599.5,1102.0,,
11.78889037721324,364.5,1059.0,589.75,1101.25,,
11.88879622786759,348.0,1064.0,574.5,1101.75,289.5,1659.25
11.988702078521941,325.5,1075.0,553.5,1102.25,,
12.08860792917629,300.25,1082.0,531.5,1100.5,272.25,1677.75
12.18851377983064,284.5,1087.25,516.5,1102.0,271.0,1666.5
12.288419630484988,276.5,1095.25,508.25,1106.5,272.25,1662.0
12.388325481139338,275.75,1094.0,508.25,1106.0,273.0,1665.75
12.488231331793688,279.25,1097.75,513.5,1107.0,274.25,1667.0
12.588137182448037,281.25,1097.5,515.5,1107.0,276.25,1668.25
12.688043033102387,284.0,1099.25,519.5,1108.5,279.0,1668.25
12.787948883756735,288.75,1100.0,524.25,1108.75,281.25,1668.25
12.887854734411086,290.75,1099.75,527.0,1109.5,283.25,1668.25
12.987760585065436,293.25,1099.25,529.5,1108.25,285.25,1667.75
13.087666435719784,294.75,1098.75,531.25,1108.25,286.75,1667.5
13.187572286374134,295.0,1099.75,532.0,1109.25,288.0,1668.25
13.287478137028483,295.0,1099.75,532.0,1109.5,289.0,1668.25
13.387383987682833,295.25,1098.75,531.75,1109.25,289.75,1667.5
13.487289838337183,295.5,1098.0,532.0,1108.25,290.75,1667.0
13.587195688991532,296.0,1097.0,533.0,1108.25,291.5,1666.75
13.687101539645882,,,,,,
13.787007390300232,303.25,1094.25,,,,
13.88691324095458,306.0,1092.25,542.5,1105.0,298.25,1664.75
13.98681909160893,307.0,1088.5,542.25,1101.75,298.0,1660.5
14.08672494226328,307.25,1086.5,542.75,1099.75,298.25,1658.25
14.18663079291763,307.0,1082.75,541.75,1096.0,298.0,1654.0
14.28653664357198,306.0,1080.0,540.5,1093.0,296.25,1650.25
14.386442494226328,306.0,1078.25,540.75,1091.75,296.75,1647.75
